PLEXOS technology,WEO_tech,Object_type,Operating_class,Mapping to NREL cost data,Mapping to DEA data,Fuel,Cofiring1,Cofiring2,PerformanceVar,CHPtypeETP,CCStype,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,StorageDuration,Category,CategorySub,StackCategory,FUELgas,FDtech,Fuel4,Fuel5,VRE2,VRE3,CategoryWEO,FlexCategory,CapacityCategory,QuickStart,Type,ScaleCat,VREsepcats,ScaleCatCHP,ScaleCat2,CategoryCapacity,RegSplitCat,merge
Waste_Renewable_CHP,NEW CHP BiomassandWaste,Generator,CHP Other,Biomass,CHP Other,,,,1,Industrial,Bioenergy,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,Thermal,RES,Other,Non-VRE,Non-VRE,Bioenergy,Constrained,Bioenergy,No,Constrained,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,NEW CHP BiomassandWaste,1
Wind_Offshore,Wind Offshore,Generator,Wind offshore,Wind Offshore,Wind Offshore,,,,1,nonCHP,Wind,Wind,Wind,VRE,0,0,,Wind,Wind_Offshore,Wind,Wind,Wind,RES,Wind,Wind,Wind,Wind,VRE,Wind,No,VRE,Wind,Wind_offshore,Wind,Wind,Wind,Wind Offshore,1
Wind_Onshore,Wind Onshore,Generator,Wind onshore,Wind Onshore,Wind Onshore,,,,1,nonCHP,Wind,Wind,Wind,VRE,0,0,,Wind,Wind_Onshore,Wind,Wind,Wind,RES,Wind,Wind,Wind,Wind,VRE,Wind,No,VRE,Wind,Wind_onshore,Wind,Wind,Wind,Wind Onshore,1
Shed1h,DSM shed,Generator,Shed,Shed,Shed,,,,1,nonCHP,DSM,DSM,DSM,DSM,0,0,,DSM,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,No,DSM,None,None,None,None,DSM,Shed1h,1
Shed4h,DSM shed,Generator,Shed,Shed,Shed,,,,1,nonCHP,DSM,DSM,DSM,DSM,0,0,,DSM,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,No,DSM,None,None,None,None,DSM,Shed4h,1
Shed10h,DSM shed,Generator,Shed,Shed,Shed,,,,1,nonCHP,DSM,DSM,DSM,DSM,0,0,,DSM,DSM,DSM,DSM,DSM,DSM,Other,DSM,DSM,DSM,DSM,DSM,No,DSM,None,None,None,None,DSM,Shed10h,1
Shift1h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,1h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift3h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,3h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift2h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,2h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift4h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,4h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift5h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,5h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift8h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,8h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
Shift10h,DSM shift,Purchaser,Excluded,#N/A,#N/A,#N/A,,,#N/A,Purchaser,#N/A,#N/A,Purchaser,Purchaser,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Purchaser,Purchaser,Purchaser,Purchaser,#N/A,#N/A,#N/A,#N/A,10h,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1
